title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
No Regrets,James Reeder,0.53,0.77,4,-6.633,0,0.0389,0.284,0.501,0.744,0.623,120.144,n,6f2c4a9lNx8aowZJngv7cJ,spotify:track:6f2c4a9lNx8aowZJngv7cJ,https://api.spotify.com/v1/tracks/6f2c4a9lNx8aowZJngv7cJ,https://api.spotify.com/v1/audio-analysis/6f2c4a9lNx8aowZJngv7cJ,225696,4,10
Wild Life,James Reeder,0.565,0.73,1,-6.063,1,0.073,0.365,0.0,0.237,0.511,130.026,n,3fTs52jsDzSuVLsifxNKO8,spotify:track:3fTs52jsDzSuVLsifxNKO8,https://api.spotify.com/v1/tracks/3fTs52jsDzSuVLsifxNKO8,https://api.spotify.com/v1/audio-analysis/3fTs52jsDzSuVLsifxNKO8,158093,4,7
Fangs,James Reeder,0.427,0.546,4,-8.727,1,0.0849,0.539,0.0152,0.368,0.435,78.345,n,6NPafqavrv0icaIHMQnXDy,spotify:track:6NPafqavrv0icaIHMQnXDy,https://api.spotify.com/v1/tracks/6NPafqavrv0icaIHMQnXDy,https://api.spotify.com/v1/audio-analysis/6NPafqavrv0icaIHMQnXDy,167262,4,12
Afterburner,James Reeder,0.421,0.531,7,-5.516,1,0.0262,0.706,0.000208,0.11,0.383,85.08,n,3vGmhxveURgmlZStvo0uc1,spotify:track:3vGmhxveURgmlZStvo0uc1,https://api.spotify.com/v1/tracks/3vGmhxveURgmlZStvo0uc1,https://api.spotify.com/v1/audio-analysis/3vGmhxveURgmlZStvo0uc1,236832,4,12
Hellfire Rising,James Reeder,0.537,0.804,8,-7.378,0,0.157,0.379,0.000489,0.323,0.543,139.95,n,4O2qRbfCHzMMgfbw9DBdGf,spotify:track:4O2qRbfCHzMMgfbw9DBdGf,https://api.spotify.com/v1/tracks/4O2qRbfCHzMMgfbw9DBdGf,https://api.spotify.com/v1/audio-analysis/4O2qRbfCHzMMgfbw9DBdGf,239400,4,6
Hurricane,James Reeder,0.71,0.621,9,-7.879,0,0.0329,0.405,0.0019,0.103,0.546,125.985,n,1Tu9d0uA2ipK3s8EddNfl9,spotify:track:1Tu9d0uA2ipK3s8EddNfl9,https://api.spotify.com/v1/tracks/1Tu9d0uA2ipK3s8EddNfl9,https://api.spotify.com/v1/audio-analysis/1Tu9d0uA2ipK3s8EddNfl9,194560,4,6
Trapdoor,James Reeder,0.419,0.821,11,-5.768,0,0.0431,0.0137,0.00365,0.127,0.343,80.031,n,5IR8f7pzaGn6k7TJ6A7bNk,spotify:track:5IR8f7pzaGn6k7TJ6A7bNk,https://api.spotify.com/v1/tracks/5IR8f7pzaGn6k7TJ6A7bNk,https://api.spotify.com/v1/audio-analysis/5IR8f7pzaGn6k7TJ6A7bNk,195288,4,6
Demon,James Reeder,0.565,0.624,1,-5.718,1,0.0351,0.00442,0.221,0.108,0.655,123.927,n,6iz9ZfQ9YIHRXZMuT6vv3R,spotify:track:6iz9ZfQ9YIHRXZMuT6vv3R,https://api.spotify.com/v1/tracks/6iz9ZfQ9YIHRXZMuT6vv3R,https://api.spotify.com/v1/audio-analysis/6iz9ZfQ9YIHRXZMuT6vv3R,211043,4,7
Rusty Barracuda,James Reeder,0.547,0.56,0,-7.187,1,0.051,0.551,0.179,0.137,0.354,169.878,n,4oUd60VyrDAM26LKxNe3NG,spotify:track:4oUd60VyrDAM26LKxNe3NG,https://api.spotify.com/v1/tracks/4oUd60VyrDAM26LKxNe3NG,https://api.spotify.com/v1/audio-analysis/4oUd60VyrDAM26LKxNe3NG,182184,4,7
Night on Fire,James Reeder,0.533,0.785,5,-5.466,1,0.0481,0.591,0.0,0.162,0.521,89.826,n,4sCYHI5weMJM8STfL0yjUg,spotify:track:4sCYHI5weMJM8STfL0yjUg,https://api.spotify.com/v1/tracks/4sCYHI5weMJM8STfL0yjUg,https://api.spotify.com/v1/audio-analysis/4sCYHI5weMJM8STfL0yjUg,120936,4,4
Kentucky Banshee,James Reeder,0.482,0.369,2,-7.637,0,0.0412,0.75,0.00653,0.105,0.246,74.396,n,3R8geaRy40N54AklO7cAfY,spotify:track:3R8geaRy40N54AklO7cAfY,https://api.spotify.com/v1/tracks/3R8geaRy40N54AklO7cAfY,https://api.spotify.com/v1/audio-analysis/3R8geaRy40N54AklO7cAfY,206544,4,12
The Devil in a Long Black Lincoln,James Reeder,0.589,0.659,2,-7.491,1,0.0516,0.104,0.00919,0.163,0.47,140.172,n,5RKVavCDNqnh89DqiLSmJ3,spotify:track:5RKVavCDNqnh89DqiLSmJ3,https://api.spotify.com/v1/tracks/5RKVavCDNqnh89DqiLSmJ3,https://api.spotify.com/v1/audio-analysis/5RKVavCDNqnh89DqiLSmJ3,164208,4,7
Satania,James Reeder,0.573,0.816,0,-7.263,1,0.0419,0.00347,0.814,0.244,0.608,119.983,n,5EWiFVuAMw0JxWSaaaVUmz,spotify:track:5EWiFVuAMw0JxWSaaaVUmz,https://api.spotify.com/v1/tracks/5EWiFVuAMw0JxWSaaaVUmz,https://api.spotify.com/v1/audio-analysis/5EWiFVuAMw0JxWSaaaVUmz,74064,4,8
Stupid Girl,Cold,0.43,0.868,0,-4.44,1,0.0639,0.000119,0.000389,0.0836,0.164,138.807,n,40u9RFyKQfXwpPjFzK1bGO,spotify:track:40u9RFyKQfXwpPjFzK1bGO,https://api.spotify.com/v1/tracks/40u9RFyKQfXwpPjFzK1bGO,https://api.spotify.com/v1/audio-analysis/40u9RFyKQfXwpPjFzK1bGO,189853,3,9
Stupid Girl - Life So Long Mix,Cold,0.46,0.548,5,-8.914,1,0.035,0.185,0.0865,0.223,0.126,138.73,n,5DfAEpcoV9jlKAD3z8gf04,spotify:track:5DfAEpcoV9jlKAD3z8gf04,https://api.spotify.com/v1/tracks/5DfAEpcoV9jlKAD3z8gf04,https://api.spotify.com/v1/audio-analysis/5DfAEpcoV9jlKAD3z8gf04,291147,3,9
Essence,TG,0.677,0.786,4,-6.628,0,0.0964,0.01,2.41e-05,0.151,0.197,134.745,n,0NxVwlWCjN0G6vf0DY5A20,spotify:track:0NxVwlWCjN0G6vf0DY5A20,https://api.spotify.com/v1/tracks/0NxVwlWCjN0G6vf0DY5A20,https://api.spotify.com/v1/audio-analysis/0NxVwlWCjN0G6vf0DY5A20,242651,4,2
