track_name,track_artist
No Regrets,James Reeder
Wild Life,James Reeder
Fangs,James Reeder
Afterburner,James Reeder
Hellfire Rising,James Reeder
Hurricane,James Reeder
Trapdoor,James Reeder
Demon,James Reeder
Rusty Barracuda,James Reeder
Night on Fire,James Reeder
Kentucky Banshee,James Reeder
The Devil in a Long Black Lincoln,James Reeder
Satania,James Reeder
Stupid Girl,Cold
Stupid Girl - Life So Long Mix,Cold
Essence,TG
Gravity's Rainbow - Soulwax Remix,Klaxons
How You Do It,TG
Pa' Gozar,Gilles Peterson's Havana Cultura Band
Arroz Con Pollo,Gilles Peterson's Havana Cultura Band
Roforofo Fight (feat. Mayra Caridad Valdés),Gilles Peterson's Havana Cultura Band
"Ipacuba (feat. Danay Suárez, Francis Del Río, Vince Vella & Julio Padrón)",Gilles Peterson's Havana Cultura Band
"La Revolución Del Cuerpo, Pt. 1 (feat. Ogguere, Danay Suárez & Obsesión)",Gilles Peterson's Havana Cultura Band
"La Revolución Del Cuerpo, Pt. 2 (feat. Roberto Fonseca)",Gilles Peterson's Havana Cultura Band
Lágrimas De Soledad (No Existen Palabras) [feat. Danay Suárez],Gilles Peterson's Havana Cultura Band
Think Twice (feat. Danay Suarez & Obsesión),Gilles Peterson's Havana Cultura Band
Chekere Son (feat. Mayra Caridad Valdés),Gilles Peterson's Havana Cultura Band
Afrodisia,Gilles Peterson's Havana Cultura Band
Mami,Gilles Peterson's Havana Cultura Band
Rezando,Gilles Peterson's Havana Cultura Band
La Revolución Del Cuerpo,Ogguere
Listos 'Pa La Lucha,Free Hole Negro
La Perla Del Son,Wichy de Vedado
Candao Cerrao,Yusa
Acompáñanos,Kumar
Me Lastimas,Obsesión
Individual,Danay Suárez
Pasa El Borrador,Los Aldeanos
Amor Internacional,Doble Filo
Por Un Milagro,Cubanito 20.02
Sentimiento,Francis del Río
Que Tú Te Crees (feat. Pepito),Doble Filo
Puñalá,Descemer Bueno
Spiritual Sin Egoísmo,Telmary
La Jungla,Harold López-Nussa
Hoy,Fiel A La Vega
Bogeyman,Dan Griffith
Que Se Quede Contigo,Flor De Tabaco
Beso A Beso,Flor De Tabaco
